tract,0-18,19-25,26-34,35-54,55-64,65+
04021000206,1341.0,345.0,549.0,1062.0,323.0,192.0
04021000207,4352.0,777.0,1982.0,2955.0,736.0,456.0
04021000208,586.0,107.0,250.0,464.0,151.0,163.0
04021000209,3130.0,675.0,1697.0,2176.0,615.0,362.0
04021000210,3208.0,614.0,1610.0,2218.0,564.0,404.0
04021000211,1703.0,349.0,813.0,1171.0,306.0,197.0
04021000212,2429.0,431.0,1003.0,1565.0,373.0,288.0
04021000213,4122.0,628.0,1608.0,3453.0,1411.0,1093.0
04021000214,3364.0,644.0,1689.0,2379.0,697.0,501.0
04021000215,650.0,184.0,196.0,760.0,312.0,234.0
04021000307,414.0,134.0,153.0,843.0,531.0,374.0
04021000308,872.0,298.0,394.0,1357.0,766.0,1322.0
04021000309,385.0,143.0,165.0,662.0,433.0,1010.0
04021000310,488.0,164.0,153.0,833.0,593.0,809.0
04021000311,494.0,140.0,131.0,947.0,697.0,493.0
04021000312,1018.0,288.0,410.0,988.0,396.0,716.0
04021000313,710.0,229.0,324.0,928.0,620.0,1390.0
04021000314,1352.0,370.0,603.0,1362.0,593.0,1013.0
04021000315,1253.0,459.0,485.0,1368.0,716.0,775.0
04021000316,711.0,209.0,246.0,1540.0,1795.0,2910.0
04021000317,282.0,60.0,115.0,271.0,370.0,1249.0
04021000318,1444.0,390.0,641.0,1333.0,772.0,1972.0
04021000319,1.0,4.0,5.0,49.0,347.0,946.0
04021000400,725.0,188.0,247.0,737.0,467.0,563.0
04021000603,485.0,91.0,218.0,573.0,1213.0,2379.0
04021000604,29.0,13.0,9.0,213.0,1008.0,3409.0
04021000700,1007.0,267.0,340.0,888.0,455.0,629.0
04021000801,2445.0,465.0,1022.0,1873.0,1131.0,1958.0
04021000802,1033.0,216.0,304.0,1306.0,719.0,621.0
04021000803,267.0,2120.0,3297.0,5654.0,832.0,296.0
04021000901,440.0,1514.0,2294.0,2830.0,275.0,145.0
04021000902,663.0,233.0,210.0,664.0,287.0,292.0
04021001000,1416.0,418.0,481.0,1135.0,461.0,526.0
04021001100,2537.0,673.0,1033.0,1795.0,698.0,661.0
04021001200,1141.0,340.0,394.0,1156.0,657.0,906.0
04021001301,1857.0,542.0,768.0,1654.0,831.0,1448.0
04021001303,305.0,73.0,81.0,413.0,303.0,170.0
04021001304,3046.0,561.0,1271.0,2394.0,873.0,757.0
04021001305,1471.0,437.0,562.0,1392.0,593.0,947.0
04021001306,1682.0,614.0,656.0,1267.0,583.0,453.0
04021001403,1347.0,441.0,505.0,1099.0,494.0,640.0
