census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
29093950200,668.0,175.0,246.0,729.0,345.0,557.0
29093950300,711.0,240.0,323.0,764.0,373.0,513.0
29093950400,542.0,178.0,197.0,673.0,316.0,332.0
29095000300,439.0,143.0,205.0,340.0,118.0,173.0
29095000600,1507.0,517.0,648.0,1369.0,368.0,341.0
29095000700,1330.0,399.0,538.0,1135.0,373.0,377.0
29095000800,1375.0,413.0,540.0,1122.0,323.0,265.0
29095000900,936.0,312.0,405.0,910.0,287.0,238.0
29095001000,1113.0,333.0,449.0,859.0,253.0,250.0
29095001100,66.0,357.0,452.0,479.0,162.0,221.0
29095001800,992.0,332.0,368.0,862.0,267.0,177.0
29095001900,1135.0,335.0,496.0,962.0,267.0,210.0
29095002000,784.0,277.0,325.0,652.0,181.0,145.0
29095002100,1618.0,462.0,582.0,1096.0,325.0,264.0
29095002200,871.0,326.0,360.0,783.0,285.0,318.0
29095002300,709.0,206.0,269.0,565.0,251.0,177.0
29095003400,1040.0,357.0,374.0,884.0,231.0,198.0
29095003700,279.0,96.0,102.0,304.0,109.0,127.0
29095003800,497.0,167.0,156.0,432.0,196.0,258.0
29095004300,336.0,419.0,427.0,653.0,251.0,110.0
29095004400,37.0,167.0,170.0,238.0,126.0,147.0
29095004600,422.0,275.0,443.0,794.0,352.0,253.0
29095005100,296.0,240.0,282.0,508.0,250.0,104.0
29095005200,292.0,133.0,121.0,379.0,144.0,136.0
29095005300,394.0,166.0,135.0,376.0,172.0,132.0
29095005400,226.0,95.0,97.0,280.0,95.0,118.0
29095005500,273.0,100.0,89.0,235.0,74.0,122.0
29095005601,457.0,177.0,149.0,333.0,173.0,277.0
29095005602,438.0,114.0,166.0,394.0,151.0,204.0
29095005700,552.0,172.0,234.0,615.0,258.0,375.0
29095005801,474.0,171.0,173.0,556.0,198.0,297.0
29095006000,301.0,112.0,117.0,416.0,147.0,273.0
29095006100,703.0,204.0,251.0,635.0,301.0,470.0
29095006300,498.0,148.0,193.0,503.0,192.0,167.0
29095006500,227.0,281.0,413.0,488.0,184.0,66.0
29095006600,159.0,415.0,371.0,397.0,202.0,216.0
29095006700,186.0,484.0,430.0,463.0,194.0,74.0
29095006900,69.0,217.0,346.0,288.0,129.0,193.0
