census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
01073002305,570.0,242.0,658.0,1008.0,334.0,201.0
01073002306,427.0,221.0,650.0,1023.0,429.0,557.0
01073002400,987.0,394.0,594.0,1051.0,340.0,316.0
01073002700,454.0,586.0,778.0,1386.0,511.0,347.0
01073002900,403.0,205.0,213.0,615.0,318.0,336.0
01073003001,732.0,1329.0,274.0,645.0,392.0,431.0
01073003002,495.0,225.0,211.0,554.0,356.0,379.0
01073003100,933.0,365.0,450.0,1039.0,498.0,389.0
01073003200,238.0,81.0,125.0,255.0,118.0,125.0
01073003300,228.0,76.0,97.0,263.0,125.0,170.0
01073003400,667.0,245.0,256.0,759.0,355.0,230.0
01073003500,842.0,318.0,330.0,751.0,333.0,256.0
01073003600,1151.0,463.0,485.0,1291.0,717.0,619.0
01073003700,1505.0,535.0,623.0,1452.0,639.0,372.0
01073003802,1599.0,472.0,629.0,1578.0,739.0,459.0
01073003803,994.0,391.0,506.0,1111.0,721.0,526.0
01073003900,524.0,217.0,239.0,491.0,185.0,145.0
01073004000,959.0,353.0,420.0,1029.0,533.0,519.0
01073004200,433.0,222.0,271.0,713.0,395.0,335.0
01073004500,1035.0,2520.0,544.0,534.0,253.0,147.0
01073004701,235.0,600.0,895.0,865.0,372.0,562.0
01073004702,373.0,250.0,488.0,870.0,557.0,442.0
01073004800,132.0,209.0,304.0,477.0,357.0,405.0
01073004901,48.0,221.0,317.0,319.0,125.0,162.0
01073004902,298.0,709.0,931.0,878.0,254.0,144.0
01073005000,543.0,758.0,846.0,884.0,293.0,224.0
01073005101,444.0,185.0,184.0,397.0,166.0,146.0
01073005103,460.0,193.0,223.0,646.0,394.0,691.0
01073005104,898.0,826.0,807.0,844.0,206.0,117.0
01073005200,898.0,356.0,334.0,942.0,574.0,670.0
01073005302,752.0,208.0,336.0,1096.0,530.0,580.0
01073005500,660.0,216.0,238.0,526.0,248.0,291.0
01073005600,605.0,417.0,1009.0,957.0,374.0,1276.0
01073005701,551.0,191.0,253.0,647.0,389.0,359.0
01073005702,759.0,298.0,338.0,878.0,505.0,670.0
01073005800,757.0,1225.0,922.0,845.0,254.0,264.0
01073005903,1218.0,390.0,615.0,1428.0,542.0,840.0
01073005905,1463.0,392.0,612.0,1554.0,525.0,681.0
01073005907,520.0,161.0,168.0,700.0,249.0,328.0
01073005908,1240.0,433.0,613.0,1070.0,348.0,454.0
